Profile_Name,Country_Iso_Code,Device,Is_Kids,Query_Typed,Displayed_Name,Action,Section,Utc_Timestamp
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 5:White Whale,play,prequery_results,11-04-2022 17:50
User 4,AE,Device 0,0,,,select,prequery_results,11-04-2022 17:50
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 5:Show Me Going,play,prequery_results,11-04-2022 17:31
User 4,AE,Device 0,0,,,select,prequery_results,11-04-2022 17:31
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 5:The Puzzle Master,play,prequery_results,11-04-2022 15:40
User 4,AE,Device 0,0,,,select,prequery_results,11-04-2022 15:40
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 5:The Big House, Pt. 1",play,prequery_results,10-04-2022 18:45
User 4,AE,Device 0,0,,,select,prequery_results,10-04-2022 18:45
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 5:The Big House, Pt. 1",play,prequery_results,10-04-2022 18:26
User 4,AE,Device 0,0,,,select,prequery_results,10-04-2022 18:26
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 4:Cop-Con,play,prequery_results,10-04-2022 15:11
User 4,AE,Device 0,0,,,select,prequery_results,10-04-2022 15:11
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 4:Skyfire Cycle,play,prequery_results,10-04-2022 10:44
User 4,AE,Device 0,0,,,select,prequery_results,10-04-2022 10:44
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 4:Mr. Santiago,play,prequery_results,10-04-2022 10:23
User 4,AE,Device 0,0,,,select,prequery_results,10-04-2022 10:23
User 4,AE,Device 0,0,,,select,prequery_results,10-04-2022 10:23
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 3:Paranoia,play,prequery_results,09-04-2022 18:28
User 4,AE,Device 0,0,,,select,prequery_results,09-04-2022 18:28
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 3:Adrian Pimento,play,prequery_results,09-04-2022 17:25
User 4,AE,Device 0,0,,,select,prequery_results,09-04-2022 17:25
User 4,AE,Device 0,0,,Etharkkum Thunindhavan,play,prequery_results,07-04-2022 19:10
User 4,AE,Device 0,0,eth,Etharkkum Thunindhavan,play,title_results,07-04-2022 15:43
User 4,AE,Device 0,0,eth,Etharkkum Thunindhavan,select,title_results,07-04-2022 15:43
User 4,AE,Device 0,0,br,Brooklyn Nine-Nine: Season 2:The Jimmy Jab Games,play,title_results,07-04-2022 14:03
User 4,AE,Device 0,0,br,,select,title_results,07-04-2022 14:03
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 2:Undercover,play,prequery_results,07-04-2022 02:55
User 4,AE,Device 0,0,,,select,prequery_results,07-04-2022 02:54
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 1:Charges and Specs,play,prequery_results,06-04-2022 23:09
User 4,AE,Device 0,0,,,select,prequery_results,06-04-2022 23:09
User 4,AE,Device 0,0,dasv,Dasvi,select,title_results,06-04-2022 23:09
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 1:The Apartment,play,prequery_results,06-04-2022 18:56
User 4,AE,Device 0,0,,,select,prequery_results,06-04-2022 18:56
User 4,AE,Device 0,0,,,select,prequery_results,06-04-2022 16:23
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 1:Thanksgiving,play,prequery_results,06-04-2022 15:23
User 4,AE,Device 0,0,,,select,prequery_results,06-04-2022 15:23
User 4,AE,Device 0,0,,Brooklyn Nine-Nine: Season 1:Thanksgiving,play,prequery_results,06-04-2022 13:19
User 4,AE,Device 0,0,,,select,prequery_results,06-04-2022 13:19
User 4,FR,Device 0,0,,,select,prequery_results,06-04-2022 13:18
User 4,AE,Device 0,0,,Space Force: Season 2:THE EUROPA PROJECT,play,prequery_results,05-04-2022 17:48
User 4,AE,Device 0,0,,,select,prequery_results,05-04-2022 17:48
User 4,CA,Device 0,0,,,select,prequery_results,05-04-2022 17:48
User 4,AE,Device 0,0,,Space Force: Season 2:BUDGET CUTS,play,prequery_results,05-04-2022 17:09
User 4,AE,Device 0,0,,,select,prequery_results,05-04-2022 17:09
User 4,AE,Device 0,0,,Space Force: Season 2:BUDGET CUTS,play,prequery_results,05-04-2022 17:06
User 4,AE,Device 0,0,,,select,prequery_results,05-04-2022 17:06
User 4,AE,Device 0,0,,Space Force: Season 2:THE INQUIRY,play,prequery_results,05-04-2022 16:25
User 4,AE,Device 0,0,,,select,prequery_results,05-04-2022 16:25
User 4,AE,Device 0,0,dasv,Dasvi,select,title_results,05-04-2022 11:55
User 4,AE,Device 0,0,,Space Force: Season 1:THE SPY,play,prequery_results,05-04-2022 04:54
User 4,AE,Device 0,0,,,select,prequery_results,05-04-2022 04:54
User 4,AE,Device 0,0,dasvi,Dasvi,select,title_results,05-04-2022 04:54
User 4,AE,Device 0,0,dasvi,Dasvi,select,title_results,05-04-2022 04:54
User 4,AE,Device 0,0,,Space Force: Season 1:THE SPY,play,prequery_results,05-04-2022 04:48
User 4,AE,Device 0,0,,,select,prequery_results,05-04-2022 04:48
User 4,AE,Device 0,0,,Space Force: Season 1:SPACE FLAG,play,prequery_results,05-04-2022 03:58
User 4,AE,Device 0,0,,,select,prequery_results,05-04-2022 03:58
User 4,AE,Device 0,0,,Travelers: Season 2:Traveler 0027,play,prequery_results,04-04-2022 13:52
User 4,AE,Device 0,0,,,select,prequery_results,04-04-2022 13:52
User 4,AE,Device 0,0,,iZombie: Season 5:All's Well That Ends Well,play,prequery_results,28-03-2022 20:08
User 4,AE,Device 0,0,,,select,prequery_results,28-03-2022 20:08
User 4,AE,Device 0,0,,,play,prequery_results,28-03-2022 19:31
User 4,AE,Device 0,0,,,select,prequery_results,28-03-2022 19:31
User 4,AE,Device 0,0,,iZombie: Season 5:Killer Queen,play,prequery_results,28-03-2022 18:38
User 4,AE,Device 0,0,,,select,prequery_results,28-03-2022 18:38
